DHI,DNI,GHI
0,0,0
0,0,0
0,0,0
0,0,0
0.705479452,2.47260274,0.794520548
11.59452055,56.84246575,19.60684932
34.25068493,150.3150685,71.18630137
64.72054795,251.5082192,152.4410959
106.6849315,351.1794521,262.3205479
147.3479452,393.2150685,368.9575342
177.0123288,403.6410959,441.0438356
191.1369863,411.4438356,479.790411
196.3671233,400.1780822,478.6972603
184.1808219,396.430137,447.4917808
158.0054795,371.1931507,370.5547945
117.8136986,342.3561644,273.8630137
79.77123288,257.9191781,173.3794521
43.21232877,159.6232877,85.89863014
16.58630137,74.09315068,29.67671233
2.078082192,10.16164384,2.823287671
0,0,0
0,0,0
0,0,0
0,0,0
